time_s,wheel_speed,raw_weight,velocity,pitch,roll,acc,acc_z
40:32.9,0,14600,0,-0.5,0.7,0,9.8
40:33.0,0,14598,0,-0.5,0.7,0,9.8
40:33.1,0,14596,0,-0.6,0.7,0,9.8
40:33.2,0,14594,0,-0.5,0.7,0,9.8
40:33.3,0,14597,0,-0.6,0.7,0,9.8
40:33.4,0,14597,0,-0.6,0.7,0,9.8
40:33.5,0,14598,0,-0.6,0.7,0,9.8
40:33.6,0,14599,0,-0.6,0.7,0,9.8
40:33.7,0,14597,0,-0.6,0.7,0,9.8
40:33.8,0,14598,0,-0.5,0.7,0,9.8
40:33.9,0,14599,0,-0.6,0.7,0,9.8
40:34.0,0,14602,0,-0.6,0.7,0,9.8
40:34.1,0,14603,0,-0.5,0.7,0,9.8
40:34.2,0,14602,0,-0.6,0.7,0,9.8
40:34.3,0,14602,0,-0.5,0.7,0,9.8
40:34.4,0,14602,0,-0.5,0.7,0,9.8
40:34.5,0,14601,0,-0.6,0.7,0,9.8
40:34.6,0,14600,0,-0.5,0.7,0,9.8
40:34.7,0,14600,0,-0.5,0.7,0,9.8
40:34.8,0,14601,0,-0.5,0.7,0,9.8
40:34.9,0,14600,0,-0.5,0.7,0,9.8
40:35.0,0,14603,0,-0.5,0.7,0,9.8
40:35.1,0,14603,0,-0.5,0.7,0.1,9.8
40:35.2,0,14601,0,-0.5,0.7,-0.1,9.8
40:35.3,0,14600,0,-0.5,0.7,0.1,9.8
40:35.4,0,14598,0,-0.5,0.7,-0.1,9.8
40:35.5,0,14599,0,-0.5,0.7,0,9.8
40:35.6,0,14598,0,-0.5,0.7,0.1,9.8
28:47.0,0,14599,0,-0.5,0.7,0,9.8
28:47.1,0,14599,0,-0.5,0.7,-0.1,9.8
28:47.2,0,14599,0,-0.5,0.7,0,9.8
28:47.3,0,14599,0,-0.5,0.7,0,9.8
28:47.4,0,14600,0,-0.5,0.7,0,9.8
28:47.5,0,14600,0,-0.5,0.7,0.1,9.8
28:47.6,0,14599,0,-0.5,0.7,-0.1,9.8
28:47.7,0,14597,0,-0.5,0.7,0,9.8
28:47.8,0,14596,0,-0.5,0.7,0,9.8
28:47.9,0,14598,0,-0.5,0.7,0.1,9.8
28:48.0,0,14596,0,-0.5,0.7,-0.1,9.8
28:48.1,0,14595,0,-0.5,0.7,0,9.8
28:48.2,0,14596,0,-0.5,0.7,0,9.8
28:48.3,0,14599,0,-0.5,0.7,0.1,9.8
28:48.4,0,14599,0,-0.5,0.7,-0.1,9.8
28:48.5,0,14602,0,-0.5,0.7,0,9.8
28:48.6,0,14602,0,-0.5,0.7,0,9.8
28:48.7,0,14600,0,-0.5,0.7,0,9.8
28:48.8,0,14601,0,-0.5,0.7,0,9.8
28:48.9,0,14602,0,-0.5,0.7,0,9.8
28:49.0,0,14601,0,-0.5,0.7,0,9.8
28:49.1,0,14601,0,-0.5,0.7,0,9.8
28:49.3,0,14603,0,-0.5,0.7,0.1,9.8
28:49.4,0,14601,0,-0.5,0.7,-0.1,9.8
28:49.5,0,14601,0,-0.5,0.7,0.1,9.8
28:49.6,0,14604,0,-0.5,0.7,0,9.8
28:49.7,0,14604,0,-0.5,0.7,-0.1,9.8
28:49.8,0,14603,0,-0.5,0.7,0,9.8
28:49.9,0,14599,0,-0.5,0.7,0,9.8
28:50.0,0,14599,0,-0.5,0.7,0,9.8
28:50.1,0,14598,0,-0.5,0.7,0,9.8
28:50.2,0,14598,0,-0.5,0.7,0,9.8
28:50.3,0,14598,0,-0.5,0.7,0,9.8
28:50.4,0,14598,0,-0.5,0.7,0,9.8
28:50.5,0,14599,0,-0.5,0.7,0,9.8
28:50.6,0,14597,0,-0.5,0.7,0,9.8
28:50.7,0,14595,0,-0.5,0.7,0,9.8
28:50.8,0,14595,0,-0.5,0.7,0,9.8
28:50.9,0,14594,0,-0.5,0.7,0,9.8
28:51.0,0,14596,0,-0.5,0.7,0,9.8
28:51.1,0,14598,0,-0.5,0.7,0,9.8
28:51.2,0,14599,0,-0.5,0.7,0,9.8
28:51.3,0,14599,0,-0.5,0.7,0,9.8
28:51.4,0,14600,0,-0.5,0.7,0,9.8
28:51.5,0,14601,0,-0.5,0.7,0,9.8
28:51.6,0,14600,0,-0.5,0.7,0,9.8
28:51.7,0,14601,0,-0.5,0.7,0,9.8
28:51.8,0,14600,0,-0.5,0.7,0,9.8
28:51.9,0,14600,0,-0.5,0.7,0,9.8
28:52.0,0,14599,0,-0.5,0.7,0,9.8
28:52.1,0,14601,0,-0.5,0.7,0,9.8
28:52.2,0,14599,0,-0.5,0.7,0,9.8
28:52.3,0,14598,0,-0.5,0.7,0.1,9.8
28:52.4,0,14597,0,-0.5,0.7,-0.1,9.8
28:52.5,0,14597,0,-0.5,0.7,0.1,9.8
28:52.6,0,14597,0,-0.5,0.7,0,9.8
28:52.7,0,14597,0,-0.5,0.7,-0.1,9.8
28:52.8,0,14599,0,-0.5,0.7,0,9.8
28:52.9,0,14597,0,-0.5,0.7,0,9.8
28:53.0,0,14595,0,-0.5,0.7,0.1,9.8
28:53.1,0,14597,0,-0.5,0.7,-0.1,9.8
28:53.2,0,14600,0,-0.5,0.7,0.1,9.8
28:53.3,0,14598,0,-0.5,0.7,-0.1,9.8
28:53.4,0,14597,0,-0.5,0.7,0,9.8
28:53.5,0,14598,0,-0.5,0.7,0,9.8
28:53.6,0,14597,0,-0.5,0.7,0.1,9.8
28:53.7,0,14597,0,-0.5,0.7,0,9.8
28:53.8,0,14598,0,-0.5,0.7,-0.1,9.8
28:53.9,0,14597,0,-0.5,0.7,0,9.8
28:54.0,0,14600,0,-0.5,0.7,0,9.8
28:54.1,0,14601,0,-0.5,0.7,0,9.8
28:54.2,0,14602,0,-0.5,0.7,0,9.8
28:54.3,0,14602,0,-0.5,0.7,0,9.8
28:54.4,0,14601,0,-0.5,0.7,0,9.8
28:54.5,0,14599,0,-0.5,0.7,0,9.8
28:54.6,0,14598,0,-0.5,0.7,0,9.8
28:54.7,0,14598,0,-0.5,0.7,0,9.8
28:54.8,0,14599,0,-0.5,0.7,0,9.8
28:54.9,0,14599,0,-0.5,0.7,0,9.8
28:55.0,0,14597,0,-0.5,0.7,0,9.8
28:55.1,0,14598,0,-0.5,0.7,0,9.8
28:55.2,0,14597,0,-0.5,0.7,0.1,9.8
28:55.4,0,14598,0,-0.5,0.7,-0.1,9.8
28:55.5,0,14598,0,-0.5,0.7,0,9.8
28:55.6,0,14599,0,-0.5,0.7,0,9.8
28:55.7,0,14598,0,-0.5,0.7,0,9.8
28:55.8,0,14600,0,-0.5,0.7,0,9.8
28:55.9,0,14598,0,-0.5,0.7,0.1,9.8
28:56.0,0,14598,0,-0.5,0.7,-0.1,9.8
28:56.1,0,14599,0,-0.5,0.7,0,9.8
28:56.2,0,14602,0,-0.5,0.7,0,9.8
28:56.3,0,14603,0,-0.5,0.7,0.1,9.8
28:56.4,0,14603,0,-0.5,0.7,-0.1,9.8
28:56.5,0,14601,0,-0.5,0.7,0,9.8
28:56.6,0,14601,0,-0.5,0.7,0,9.8
28:56.7,0,14600,0,-0.5,0.7,0,9.8
28:56.8,0,14602,0,-0.5,0.7,0,9.8
28:56.9,0,14603,0,-0.5,0.7,0,9.8
28:57.0,0,14602,0,-0.5,0.7,0,9.8
28:57.1,0,14604,0,-0.5,0.7,0,9.8
28:57.2,0,14605,0,-0.5,0.7,0,9.8
